Origin,Destination,00:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00, 21:00 - 22:00,22:00 - 23:00, 23:00 - 00:00
Other,Parklot,2451,3275,5898,5817,3848,2764,3932,6320,4643,2655,2789,3016,3237,3398,2721,1484,1465,895,496
Other,downtown,4285,5506,9207,9935,7722,5993,6411,7318,6187,5823,6368,7831,8605,7692,5557,3987,3057,2066,1231
Other,galleria,3208,3902,7919,9014,6805,6555,6157,6216,5635,5764,6401,6755,7323,6049,4555,3396,2555,1679,1000
Other,hou_airport,3264,2851,4673,3241,2656,2573,2695,3178,3071,3215,3601,3889,4278,3672,2654,1931,1364,969,574
Other,iah_airport,4337,3060,3665,3260,2474,2722,2524,2986,2849,2796,3038,3182,3040,2916,2119,1728,1267,935,579
Parklot,Other,1736,1128,1909,2282,2219,1965,1993,2383,2564,2856,3989,6953,7725,4154,2770,2070,2245,2239,1157
Parklot,Parklot,676,528,1231,1726,1673,1271,1738,2637,3219,1785,1782,5283,3201,1820,1556,1124,1316,694,381
Parklot,downtown,488,255,537,856,872,682,840,1025,1011,886,1242,2388,2291,1421,898,711,724,535,315
Parklot,galleria,112,43,107,180,182,159,186,157,182,179,224,404,408,237,169,106,126,103,49
Parklot,hou_airport,138,60,122,106,147,137,148,163,194,186,174,376,384,142,109,107,128,129,50
Parklot,iah_airport,192,77,105,129,99,169,146,183,129,148,169,150,189,106,64,31,38,13,10
downtown,Other,3557,2807,5016,5776,5109,4920,5400,5922,6091,6242,7949,10187,11489,9070,6373,4621,3635,3699,2030
downtown,Parklot,475,373,1026,1464,1311,848,1082,1731,1895,997,977,1380,1516,1331,1176,678,593,424,271
downtown,downtown,1597,1203,2774,3835,3741,3286,3925,4805,4516,4003,4522,6207,6710,5466,4224,3240,2494,1955,1220
downtown,galleria,275,181,404,698,543,446,539,531,481,472,634,707,822,602,466,360,313,260,177
downtown,hou_airport,116,85,149,108,124,127,176,141,180,197,215,252,291,211,151,99,80,62,36
downtown,iah_airport,173,82,94,132,86,142,107,153,128,139,170,208,193,134,78,57,38,39,31
galleria,Other,2757,2056,4588,5262,4470,4689,5287,6093,6191,6461,7521,9025,8673,8299,5412,4141,3271,2169,1399
galleria,Parklot,114,89,242,368,199,172,207,374,327,152,140,146,141,162,144,129,120,97,62
galleria,downtown,236,195,479,656,488,435,509,564,516,485,519,641,687,711,480,373,306,213,129
galleria,galleria,1418,1094,3238,4282,4919,4932,4906,5793,5348,4683,5095,5822,6979,5726,3894,2966,2106,1362,812
galleria,hou_airport,56,33,57,45,47,56,53,66,73,83,77,81,78,70,47,29,24,22,8
galleria,iah_airport,118,54,75,53,33,65,44,75,56,56,72,52,9,24,25,31,21,14,12
hou_airport,Other,2410,2329,3395,3378,2388,2519,2553,2785,3031,3021,3691,4507,4138,3878,3008,2231,1736,1437,863
hou_airport,Parklot,137,121,261,351,161,199,222,345,292,182,190,187,186,252,176,103,70,68,28
hou_airport,downtown,111,112,210,241,135,141,142,125,152,125,118,123,140,169,144,88,94,79,40
hou_airport,galleria,26,40,96,93,69,85,68,63,60,76,62,68,68,64,36,54,36,29,14
hou_airport,hou_airport,1065,1028,2546,2302,1629,1744,1916,2290,2129,2268,2741,2929,2582,2444,1892,1639,1145,920,465
hou_airport,iah_airport,28,15,19,8,14,16,29,17,18,25,17,5,11,12,7,12,4,4,6
iah_airport,Other,3161,2021,2364,2256,2252,2088,2613,2535,2894,2971,3519,3445,4050,2923,3193,2187,2079,1667,1078
iah_airport,Parklot,70,43,58,81,85,62,117,122,90,77,104,64,98,52,60,45,48,30,19
iah_airport,downtown,116,85,82,140,132,86,145,80,109,93,140,118,196,103,102,49,90,56,52
iah_airport,galleria,55,24,10,12,42,33,64,52,60,73,59,53,36,31,75,48,67,46,32
iah_airport,hou_airport,28,10,6,11,25,12,21,15,17,20,19,14,13,13,10,7,5,10,4
iah_airport,iah_airport,1798,1131,1376,1863,1502,1656,2093,1885,2410,2068,2444,2137,2396,1910,1843,1850,1442,1259,869
