Origin,Destination,00:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00, 21:00 - 22:00,22:00 - 23:00, 23:00 - 00:00
Other,Parklot,3473,569,653,1116,1597,2168,2528,2989,3165,2587,2545,2688,2922,3831,2949,1797,1332,1155,773
Other,downtown,7573,1127,1668,3030,4650,6131,7429,8415,8781,7837,7345,7186,6996,6251,5646,4383,3329,2538,1691
Other,galleria,5280,856,1523,2704,3758,5665,7135,7754,7998,7320,6885,6415,5964,4913,4051,3366,2516,1939,1247
Other,hou_airport,3795,937,1101,1581,2528,3074,3080,3763,3778,4355,3745,3593,3444,3039,2581,2279,1838,1276,755
Other,iah_airport,4318,1270,1979,2022,2479,3330,2704,3422,3318,3286,3165,3282,3111,2713,1995,1868,1317,1048,647
Parklot,Other,6626,460,589,816,1320,1967,2171,2775,2653,2553,2473,2282,2493,2248,1992,1752,1443,1731,2599
Parklot,Parklot,2297,160,227,304,498,790,992,1124,1206,1219,1220,1172,1365,1467,1700,1257,961,1453,767
Parklot,downtown,2138,95,140,233,417,593,846,1019,990,967,902,903,920,839,877,702,651,701,729
Parklot,galleria,574,17,23,64,59,127,196,206,211,214,174,175,153,118,121,131,104,118,167
Parklot,hou_airport,293,73,92,70,95,106,95,104,118,168,115,157,125,125,104,85,98,82,72
Parklot,iah_airport,232,47,75,90,54,112,94,68,57,62,49,74,53,56,57,46,30,23,25
downtown,Other,14526,1009,1358,1995,3252,4660,5795,7191,7771,7703,7196,7194,7242,6567,5421,5045,3764,3197,2541
downtown,Parklot,1930,109,121,212,336,559,711,797,884,881,862,969,875,1086,1015,710,652,513,435
downtown,downtown,6264,401,626,1328,2305,3283,4224,5156,5540,5543,5042,5007,4968,4374,3891,3490,2788,2148,1661
downtown,galleria,1185,47,75,119,261,415,616,724,769,709,664,622,612,463,426,334,326,267,201
downtown,hou_airport,302,51,37,63,69,87,111,143,172,230,183,200,162,116,151,115,111,93,58
downtown,iah_airport,235,47,106,103,104,117,72,133,100,114,109,143,118,89,64,64,39,37,23
galleria,Other,7284,755,1207,1945,3114,4532,5108,6496,7022,7279,7536,7320,7108,5811,4687,3771,2854,2094,1428
galleria,Parklot,408,27,37,54,71,110,112,146,152,156,182,199,219,231,211,127,93,83,64
galleria,downtown,813,56,83,177,277,487,521,657,740,765,694,737,691,587,438,385,334,259,157
galleria,galleria,3172,386,623,1288,2066,3104,3989,4876,5174,5182,4884,4815,4589,3579,2853,2518,1886,1276,868
galleria,hou_airport,97,39,36,32,49,64,58,51,74,70,64,83,85,61,49,43,27,16,16
galleria,iah_airport,124,38,64,57,48,66,38,85,64,70,88,86,69,43,17,32,19,14,13
hou_airport,Other,3748,690,953,1340,2059,2920,3285,3539,3924,3902,4084,3602,3520,3107,2485,2635,1974,1629,1123
hou_airport,Parklot,164,38,43,66,100,139,161,126,205,146,209,155,143,151,119,105,90,75,59
hou_airport,downtown,176,31,37,68,92,141,175,194,241,215,217,176,180,144,164,114,96,73,65
hou_airport,galleria,61,7,17,28,43,43,70,70,85,78,98,67,77,52,33,54,30,36,25
hou_airport,hou_airport,1733,398,601,881,1378,1689,2005,2137,2359,2570,2459,2280,2252,1859,1890,1761,1327,948,554
hou_airport,iah_airport,37,10,18,21,21,38,45,33,24,17,25,18,20,11,18,15,10,7,3
iah_airport,Other,3216,835,978,1492,1896,2410,2979,2884,3691,3444,3530,2921,3152,3182,3117,2440,2261,1597,1526
iah_airport,Parklot,80,21,13,40,39,38,85,47,125,73,90,75,99,159,110,69,86,45,51
iah_airport,downtown,98,39,20,53,57,54,84,102,168,121,140,101,122,135,148,91,98,50,59
iah_airport,galleria,49,11,10,23,30,32,65,29,61,73,73,69,58,71,70,46,69,64,50
iah_airport,hou_airport,38,9,7,16,27,25,21,27,18,30,20,15,15,20,22,18,19,13,9
iah_airport,iah_airport,1652,698,780,1231,1108,1590,1835,1542,2022,1829,1768,1756,2216,1840,1771,1612,1362,950,851
