Origin,Destination,00:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00, 21:00 - 22:00,22:00 - 23:00, 23:00 - 00:00
Other,Parklot,2615,2240,4094,3864,3046,2708,2900,3286,3791,4530,4470,4631,4864,5226,4005,2689,2622,2680,1941
Other,downtown,4999,4110,6995,7824,6519,6475,6538,6855,7416,7461,8026,9161,9582,8858,8263,6320,5479,5456,4276
Other,galleria,3983,3110,6789,7187,6147,6201,6860,6958,6886,7178,7506,7281,7682,7947,6294,4716,4084,3301,2355
Other,hou_airport,4194,2745,4050,3171,3116,3044,3409,3420,3467,3925,4292,4730,4712,4113,3475,2709,2348,2085,1583
Other,iah_airport,5722,3281,3965,3779,3020,3408,3094,3549,3491,3412,3524,3933,4045,3762,2783,2539,1913,1403,941
Parklot,Other,2933,909,1603,1862,1942,2155,2459,2878,2894,3216,3773,3894,4322,2989,2816,2489,3094,6648,3260
Parklot,Parklot,1067,394,871,1161,1195,1196,1509,1724,1983,2420,2674,2939,2805,2606,2364,1823,3388,3541,1765
Parklot,downtown,810,204,478,636,707,739,904,984,1015,1102,1165,1271,1306,1108,1261,995,1317,2247,1211
Parklot,galleria,177,39,83,125,134,150,219,199,167,235,220,216,260,177,201,158,233,464,225
Parklot,hou_airport,211,87,103,110,138,167,187,171,158,161,202,203,212,144,141,145,178,247,118
Parklot,iah_airport,202,52,93,84,64,116,116,155,124,115,112,124,112,88,73,54,39,48,38
downtown,Other,6055,2311,4220,4920,4799,5116,6127,6986,7417,7611,8287,8839,9297,7775,6631,6128,5376,6627,5447
downtown,Parklot,775,288,594,877,780,721,910,1102,1171,1525,1595,1729,1593,1967,1484,1093,978,1312,986
downtown,downtown,2884,1060,2312,3172,3361,3471,4221,5142,5033,4984,5352,6021,6145,5632,5263,4770,3746,4391,3785
downtown,galleria,479,131,298,492,444,497,570,624,592,777,654,676,717,643,528,584,482,505,488
downtown,hou_airport,187,108,111,127,168,134,170,179,199,205,229,274,272,196,150,164,139,164,121
downtown,iah_airport,283,103,125,153,97,153,143,194,142,143,184,180,151,161,85,111,45,39,53
galleria,Other,3983,1800,4120,4835,4328,4660,5836,6666,7266,7721,8800,9008,8664,6922,6747,5102,4573,3992,3146
galleria,Parklot,186,63,153,226,155,128,170,182,202,250,219,220,240,328,363,186,222,217,212
galleria,downtown,394,149,349,454,401,445,510,548,642,655,659,706,830,619,955,595,530,544,416
galleria,galleria,1973,935,2805,3643,3486,3943,5191,6139,6195,5928,6284,6299,5921,5735,4482,3757,3068,2532,1822
galleria,hou_airport,121,66,62,64,60,72,95,110,89,75,74,96,93,61,80,64,45,36,27
galleria,iah_airport,215,65,81,90,73,105,77,112,83,52,54,34,34,34,35,18,24,8,9
hou_airport,Other,4035,2244,3133,3147,2566,3071,3172,3458,3468,3626,4210,4873,4693,4290,3587,3187,2522,2259,1648
hou_airport,Parklot,199,103,190,205,155,220,205,212,231,256,227,319,307,357,255,164,158,170,66
hou_airport,downtown,192,100,173,202,133,186,181,143,166,166,152,190,183,213,159,153,135,145,104
hou_airport,galleria,80,30,78,92,83,77,70,80,100,91,57,78,55,90,70,73,68,57,32
hou_airport,hou_airport,1672,1074,2342,2044,1809,2062,2302,2552,2439,2516,3224,3418,3011,2672,2298,2048,1816,1263,907
hou_airport,iah_airport,30,15,14,30,16,27,30,23,16,12,16,25,18,15,6,16,11,5,9
iah_airport,Other,3997,2251,2545,2605,3217,2650,3584,3129,3505,3972,4144,4010,4456,3735,3952,2973,3103,3007,1717
iah_airport,Parklot,103,32,42,44,143,87,151,87,138,117,86,141,91,102,94,70,87,73,41
iah_airport,downtown,125,50,42,96,166,117,179,128,200,114,153,179,160,138,151,89,136,101,83
iah_airport,galleria,74,23,10,19,72,57,56,54,42,58,51,42,38,52,82,60,47,50,33
iah_airport,hou_airport,26,5,5,12,32,33,29,18,22,21,25,30,17,27,34,13,25,13,13
iah_airport,iah_airport,2227,1471,1602,2306,2075,2193,2522,2293,2700,2321,2509,2334,2588,2246,2388,1982,2085,1469,910
