Origin,Destination,00:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00, 21:00 - 22:00,22:00 - 23:00, 23:00 - 00:00
Other,Parklot,121,38,55,63,65,66,97,81,118,202,323,708,878,1964,2343,403,73,164,472
Other,Rideshare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,around_NRG,2542,3582,3526,2958,2633,2375,2283,2529,2523,2520,2224,2239,2329,2699,1934,1286,988,912,1269
Other,downtown,4698,3902,5160,6037,6055,6317,6912,7984,7875,7811,7563,8832,9566,10057,6971,4509,3581,2635,2229
Other,galleria,2885,1886,3592,4506,4547,5102,5958,6620,6384,6592,6413,6336,5937,5508,4372,3012,2251,1841,1817
Other,hou_airport,3120,1665,2019,1918,2103,2593,2817,3031,3086,2980,3506,3687,3763,3409,2233,1689,1264,947,724
Other,iah_airport,4254,1895,2834,2428,2491,2843,2351,2936,3068,2911,3035,3324,2996,2437,1690,1551,1106,787,621
Parklot,Other,164,6,13,21,40,36,57,47,48,74,98,183,179,224,609,250,180,638,2879
Parklot,Parklot,22,4,4,12,13,8,20,14,13,29,47,111,91,130,393,136,44,84,276
Parklot,Rideshare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parklot,around_NRG,19,6,4,4,4,4,7,8,4,10,8,11,17,42,81,25,15,47,336
Parklot,downtown,13,0,1,1,0,1,5,1,0,3,1,12,9,10,26,12,10,54,265
Parklot,galleria,12,1,0,0,0,1,2,2,0,1,6,4,4,8,18,13,15,46,253
Parklot,hou_airport,1,0,1,0,0,2,3,0,2,2,3,2,2,1,4,3,6,9,38
Parklot,iah_airport,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,12
Rideshare,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rideshare,Parklot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rideshare,Rideshare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rideshare,around_NRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rideshare,downtown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rideshare,galleria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rideshare,hou_airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rideshare,iah_airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
around_NRG,Other,1355,548,1402,1271,1464,1806,2111,2426,2549,2902,3490,3773,3468,2723,2994,1657,1156,1042,1164
around_NRG,Parklot,6,1,6,6,11,7,7,9,8,11,21,49,96,288,314,69,14,34,58
around_NRG,Rideshare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
around_NRG,around_NRG,638,856,1352,1406,1431,1574,1896,2127,2123,2176,2175,2230,1961,1703,1520,993,743,536,493
around_NRG,downtown,298,143,270,323,395,425,543,607,686,750,783,949,708,678,540,371,292,194,234
around_NRG,galleria,114,41,98,150,213,290,360,410,445,487,544,491,385,364,250,185,107,78,88
around_NRG,hou_airport,54,25,38,38,35,55,61,68,43,74,99,116,73,67,53,45,22,16,13
around_NRG,iah_airport,37,18,44,24,33,38,25,25,26,17,30,45,26,16,14,20,9,11,12
downtown,Other,5113,1566,2702,3065,4030,4668,5760,6279,6900,7559,8548,9818,9498,7751,6749,5184,6819,4940,2841
downtown,Parklot,5,1,10,3,3,3,0,5,10,18,30,72,223,286,268,27,1,34,6
downtown,Rideshare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
downtown,around_NRG,281,400,496,492,440,458,550,583,566,615,630,667,707,770,588,348,383,330,190
downtown,downtown,2912,1116,2041,2814,3666,4363,5606,6502,6741,6669,6847,7539,6983,7196,6668,4812,5111,3169,2017
downtown,galleria,408,101,189,325,402,464,619,697,727,746,753,832,693,641,545,395,525,374,212
downtown,hou_airport,230,90,94,135,163,178,258,227,229,316,336,380,411,283,224,188,238,149,83
downtown,iah_airport,156,62,133,98,97,135,91,105,145,153,164,207,167,124,83,94,71,46,33
galleria,Other,3177,870,1712,2405,2907,3646,4545,5350,6028,6234,6859,7530,7334,6139,5287,3898,3067,2292,1631
galleria,Parklot,2,0,3,4,5,1,2,2,6,8,30,141,164,255,230,15,5,16,6
galleria,Rideshare,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
galleria,around_NRG,133,168,219,286,220,313,381,382,465,369,415,414,405,407,297,161,131,110,71
galleria,downtown,336,120,229,312,411,479,509,638,745,691,722,736,783,875,727,459,373,278,186
galleria,galleria,1558,630,1239,2020,2560,3255,4337,5414,5491,5392,5521,5396,4839,3962,3539,2708,1969,1426,1020
