Origin,Destination,00:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00, 21:00 - 22:00,22:00 - 23:00, 23:00 - 00:00
Other,Parklot,255,236,548,919,1578,3134,3346,740,155,155,1124,204,72,43,21,17,13,5,3
Other,Rideshare,0,1,6,31,116,244,244,78,17,33,193,108,18,0,0,0,0,0,0
Other,around_NRG,2275,1666,921,1242,1838,2657,2456,2209,2210,2203,2953,2804,2318,2511,1610,1348,1027,707,509
Other,downtown,10057,1462,2022,4062,6284,8843,8622,9395,9582,8673,8681,9641,8925,9431,8607,5929,4119,2974,2230
Other,galleria,4846,801,1266,2292,3214,5017,5640,5954,6066,5803,6178,6071,5214,4192,3481,2810,2127,1500,977
Other,hou_airport,3714,927,1089,1584,2331,2793,3096,3194,3600,3025,3282,3714,3206,2891,2525,2201,1607,1147,681
Other,iah_airport,4257,1384,1948,1933,2380,3043,2457,3138,3075,3139,3117,3279,3175,2948,2039,1747,1331,1005,620
Parklot,Other,94,33,93,150,200,403,605,364,157,508,3393,2173,320,71,32,20,16,9,6
Parklot,Parklot,12,22,73,124,149,283,426,226,43,94,1030,114,32,13,3,3,2,1,1
Parklot,Rideshare,0,0,0,2,5,12,6,9,3,4,7,3,1,0,0,0,0,0,0
Parklot,around_NRG,6,3,6,4,13,28,25,24,11,64,277,161,19,6,2,2,2,3,2
Parklot,downtown,4,1,0,1,5,8,20,15,9,35,189,287,40,9,2,2,2,0,0
Parklot,galleria,1,1,0,3,3,7,20,11,15,43,204,201,15,2,1,0,0,0,0
Parklot,hou_airport,1,1,0,1,2,2,5,5,3,14,59,98,16,2,0,0,1,1,1
Parklot,iah_airport,1,0,0,0,1,1,0,1,0,1,13,15,19,0,0,0,0,0,0
Rideshare,Other,0,0,1,6,33,96,152,42,11,29,251,128,27,0,0,0,0,0,0
Rideshare,Parklot,0,0,0,0,0,1,9,0,1,1,9,3,2,0,0,0,0,0,0
Rideshare,Rideshare,0,0,1,1,7,15,14,5,4,5,74,13,4,0,0,0,0,0,0
Rideshare,around_NRG,0,0,0,1,9,36,42,10,0,3,58,32,3,1,0,0,0,0,0
Rideshare,downtown,0,0,0,0,2,6,21,5,1,6,19,46,1,0,0,0,0,0,0
Rideshare,galleria,0,0,0,1,1,3,11,2,0,1,18,28,2,0,0,0,0,0,0
Rideshare,hou_airport,0,0,0,0,2,1,7,1,0,0,7,9,3,0,0,0,0,0,0
Rideshare,iah_airport,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0
around_NRG,Other,1955,409,1118,1073,1422,2103,2773,2194,2040,2152,2424,3740,2380,1874,2163,1465,985,799,545
around_NRG,Parklot,14,15,33,62,118,212,365,81,7,10,8,19,4,3,5,0,1,0,0
around_NRG,Rideshare,0,0,0,2,11,33,49,8,0,1,4,13,0,0,0,0,0,0,0
around_NRG,around_NRG,810,414,525,686,1078,1338,1661,1731,1654,1490,1775,1935,1593,1595,1264,1036,732,477,284
around_NRG,downtown,631,109,187,231,379,520,583,643,663,602,792,1154,748,597,609,443,285,211,157
around_NRG,galleria,154,29,54,112,157,249,353,396,394,360,377,497,348,277,271,147,107,71,31
around_NRG,hou_airport,56,26,25,26,20,35,41,45,49,60,58,94,49,48,60,28,42,16,15
around_NRG,iah_airport,53,26,21,28,22,25,29,30,18,39,31,62,41,28,19,20,12,3,4
downtown,Other,18942,1144,1617,2368,4107,6439,8170,8045,7845,8140,8035,9251,8964,7121,7162,6053,5231,4108,5295
downtown,Parklot,15,19,39,58,115,300,388,72,16,8,1,4,0,3,2,1,1,1,1
downtown,Rideshare,0,1,0,5,24,49,74,12,4,2,2,5,0,0,0,0,0,0,0
