Time Range,Arrival Profile Auto,Departure Profile Auto,Arrival Profile Rideshare,Departure Profile Rideshare
00:00 - 06:00,3923,3342,0,0
06:00 - 07:00,4429,2091,0,0
07:00 - 08:00,8716,4011,0,0
08:00 - 09:00,9807,5279,0,0
09:00 - 10:00,7277,5192,0,0
10:00 - 11:00,5316,4383,0,0
11:00 - 12:00,7298,5051,0,0
12:00 - 13:00,11529,6548,0,0
13:00 - 14:00,10466,7299,0,0
14:00 - 15:00,5848,6040,0,0
15:00 - 16:00,5982,7580,0,0
16:00 - 17:00,10076,15554,0,0
17:00 - 18:00,8379,14198,0,0
18:00 - 19:00,7015,7880,0,0
19:00 - 20:00,5833,5566,0,0
20:00 - 21:00,3563,4149,0,0
21:00 - 22:00,3612,4577,0,0
22:00 - 23:00,2208,3713,0,0
23:00 - 00:00,1257,1962,0,0
