Time Range,Arrival Profile Auto,Departure Profile Auto,Arrival Profile Rideshare,Departure Profile Rideshare
00:00 - 06:00,8352,12160,0,0
06:00 - 07:00,924,852,0,0
07:00 - 08:00,1094,1146,0,0
08:00 - 09:00,1792,1577,0,0
09:00 - 10:00,2641,2443,0,0
10:00 - 11:00,3804,3695,0,0
11:00 - 12:00,4589,4394,0,0
12:00 - 13:00,5229,5296,0,0
13:00 - 14:00,5737,5235,0,0
14:00 - 15:00,5062,5183,0,0
15:00 - 16:00,5108,4933,0,0
16:00 - 17:00,5258,4763,0,0
17:00 - 18:00,5623,5109,0,0
18:00 - 19:00,6925,4853,0,0
19:00 - 20:00,6104,4851,0,0
20:00 - 21:00,4065,3973,0,0
 21:00 - 22:00,3214,3287,0,0
22:00 - 23:00,3324,4108,0,0
 23:00 - 00:00,2149,4359,0,0
