Time Range,Arrival Profile Auto,Departure Profile Auto,Arrival Profile Rideshare,Departure Profile Rideshare
00:00 - 06:00,4945,5400,0,0
06:00 - 07:00,3120,1685,0,0
07:00 - 08:00,5944,3231,0,0
08:00 - 09:00,6377,3978,0,0
09:00 - 10:00,5474,4180,0,0
10:00 - 11:00,5060,4523,0,0
11:00 - 12:00,5845,5394,0,0
12:00 - 13:00,6593,6111,0,0
13:00 - 14:00,7516,6341,0,0
14:00 - 15:00,9098,7249,0,0
15:00 - 16:00,9271,8146,0,0
16:00 - 17:00,9979,8647,0,0
17:00 - 18:00,9900,9017,0,0
18:00 - 19:00,10586,7112,0,0
19:00 - 20:00,8565,6856,0,0
20:00 - 21:00,6025,5664,0,0
 21:00 - 22:00,7455,8249,0,0
22:00 - 23:00,7993,13195,0,0
 23:00 - 00:00,5011,6617,0,0
