Time Range,Arrival Profile Auto,Departure Profile Auto,Arrival Profile Rideshare,Departure Profile Rideshare
00:00 - 06:00,161,231,0,0
06:00 - 07:00,46,17,0,0
07:00 - 08:00,82,23,0,0
08:00 - 09:00,89,38,0,0
09:00 - 10:00,97,57,0,0
10:00 - 11:00,89,52,0,0
11:00 - 12:00,129,94,0,0
12:00 - 13:00,113,72,0,0
13:00 - 14:00,157,68,0,0
14:00 - 15:00,271,119,0,0
15:00 - 16:00,463,164,0,0
16:00 - 17:00,1093,323,0,0
17:00 - 18:00,1479,302,0,0
18:00 - 19:00,2974,416,1,0
19:00 - 20:00,3584,1131,0,0
20:00 - 21:00,654,439,0,0
 21:00 - 22:00,140,270,0,0
22:00 - 23:00,335,879,0,0
 23:00 - 00:00,819,4059,0,2
