Time Range,Arrival Profile Auto,Departure Profile Auto,Arrival Profile Rideshare,Departure Profile Rideshare
00:00 - 06:00,231,134,74,43
06:00 - 07:00,81,40,0,0
07:00 - 08:00,149,34,0,0
08:00 - 09:00,293,95,0,0
09:00 - 10:00,383,176,3,2
10:00 - 11:00,448,218,0,0
11:00 - 12:00,735,307,13,7
12:00 - 13:00,957,350,57,25
13:00 - 14:00,1331,416,111,73
14:00 - 15:00,1908,712,192,164
15:00 - 16:00,2358,930,208,253
16:00 - 17:00,2256,931,369,309
17:00 - 18:00,1700,865,458,365
18:00 - 19:00,671,469,122,109
19:00 - 20:00,265,226,45,37
20:00 - 21:00,190,249,273,77
 21:00 - 22:00,270,359,786,588
22:00 - 23:00,620,2171,1097,1358
 23:00 - 00:00,241,1868,161,362
