Time Range,Arrival Profile Auto,Departure Profile Auto,Arrival Profile Rideshare,Departure Profile Rideshare
00:00 - 06:00,144,160,113,98
06:00 - 07:00,46,16,0,0
07:00 - 08:00,46,19,0,0
08:00 - 09:00,110,36,0,0
09:00 - 10:00,147,69,0,0
10:00 - 11:00,253,141,0,0
11:00 - 12:00,308,179,0,0
12:00 - 13:00,349,221,2,0
13:00 - 14:00,477,297,1,0
14:00 - 15:00,532,299,4,2
15:00 - 16:00,696,387,9,5
16:00 - 17:00,1352,572,43,11
17:00 - 18:00,2599,933,165,41
18:00 - 19:00,3342,1153,326,123
19:00 - 20:00,1992,995,245,162
20:00 - 21:00,417,243,91,35
 21:00 - 22:00,176,169,168,68
22:00 - 23:00,759,1340,520,461
 23:00 - 00:00,376,2665,366,520
