Time Range,Arrival Profile Auto,Departure Profile Auto,Arrival Profile Rideshare,Departure Profile Rideshare
00:00 - 06:00,95,202,39,49
06:00 - 07:00,10,3,0,0
07:00 - 08:00,19,2,0,0
08:00 - 09:00,41,17,0,0
09:00 - 10:00,54,35,0,0
10:00 - 11:00,77,31,0,0
11:00 - 12:00,128,29,0,0
12:00 - 13:00,240,77,0,0
13:00 - 14:00,389,138,3,0
14:00 - 15:00,1138,263,26,8
15:00 - 16:00,2071,395,119,28
16:00 - 17:00,2865,680,200,115
17:00 - 18:00,3738,919,406,211
18:00 - 19:00,3884,1035,501,316
19:00 - 20:00,1287,669,225,185
20:00 - 21:00,302,321,51,60
 21:00 - 22:00,251,684,80,107
22:00 - 23:00,623,2604,228,324
 23:00 - 00:00,531,4221,218,396
