Origin,Destination,00:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00, 21:00 - 22:00,22:00 - 23:00, 23:00 - 00:00
Other,Parklot,67,47,54,198,428,857,1666,3117,5111,4321,1121,160,50,29,12,11,8,9,4
Other,Rideshare,0,0,0,2,9,24,81,160,260,200,58,18,27,24,12,0,0,0,0
Other,around_NRG,3248,2227,1903,2745,3557,4751,6629,10124,14401,13316,6182,3881,4045,4005,3135,2414,1965,1598,1127
Other,downtown,7194,2207,3565,5665,7676,9218,10631,11693,12242,11525,10760,9867,9866,10478,10523,8601,7455,6800,5167
Other,galleria,3684,980,2007,3545,5044,6352,7592,8584,8690,8389,7991,7514,6951,6845,6214,4725,3688,2992,2099
Other,hou_airport,2789,1100,1576,2149,2598,2780,3093,3464,3492,3538,3500,3461,3134,2963,2832,2295,1844,1494,1069
Other,iah_airport,3996,1948,2051,2053,2347,2706,2693,3009,3191,3133,3086,2927,2469,2343,2005,1727,1363,1098,732
Parklot,Other,13,9,6,6,13,18,23,33,82,81,136,90,109,1245,3680,1192,109,39,6
Parklot,Parklot,0,6,6,8,25,63,73,127,217,349,429,64,53,46,95,33,6,0,1
Parklot,Rideshare,0,0,0,0,0,1,1,1,9,5,9,2,0,5,1,1,0,0,0
Parklot,around_NRG,10,9,8,13,49,92,106,188,338,505,605,118,82,178,537,203,41,8,3
Parklot,downtown,0,2,0,1,1,2,6,8,24,30,49,14,13,108,305,109,17,7,1
Parklot,galleria,0,1,0,0,1,2,5,4,10,24,35,8,8,103,202,57,7,2,0
Parklot,hou_airport,0,0,2,1,1,2,1,1,5,13,14,4,3,15,69,40,0,0,0
Parklot,iah_airport,1,0,0,0,0,0,0,1,3,4,7,3,1,4,9,24,0,0,0
Rideshare,Other,0,0,0,0,0,0,0,1,2,11,11,8,8,70,203,129,4,0,0
Rideshare,Parklot,0,0,0,0,0,0,1,2,0,1,3,1,0,1,2,3,0,0,0
Rideshare,Rideshare,0,0,0,0,0,0,0,2,7,10,8,1,5,43,48,15,1,0,0
Rideshare,around_NRG,0,0,0,0,0,0,1,8,16,31,32,5,9,90,102,51,5,0,0
Rideshare,downtown,0,0,0,0,0,0,0,1,2,3,3,0,4,14,44,35,1,0,0
Rideshare,galleria,0,0,0,0,0,0,0,1,4,0,3,1,0,19,35,22,0,0,0
Rideshare,hou_airport,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,0,0,0
Rideshare,iah_airport,0,0,0,0,0,0,0,0,0,1,1,1,0,2,5,6,0,0,0
around_NRG,Other,2268,697,1663,1756,2216,2651,3192,3548,3947,4319,4606,3601,3485,6376,15067,7435,2458,1842,1388
around_NRG,Parklot,10,14,14,19,80,161,287,395,794,1512,1527,171,105,81,133,64,12,5,3
around_NRG,Rideshare,0,0,0,0,0,4,11,24,47,92,70,10,33,177,146,59,1,0,0
around_NRG,around_NRG,1277,554,792,1043,1615,2248,2807,3501,4451,5792,5804,2779,2586,3524,5212,3332,1700,1218,779
around_NRG,downtown,451,118,202,276,460,591,648,770,864,897,990,713,670,1081,2256,1379,575,443,337
around_NRG,galleria,182,45,121,173,294,458,521,599,658,673,765,589,475,802,1389,697,282,196,139
around_NRG,hou_airport,64,32,45,53,60,67,96,92,93,113,159,108,87,111,314,207,57,34,23
around_NRG,iah_airport,77,28,37,25,36,33,35,37,32,48,77,43,34,44,90,126,30,12,10
downtown,Other,11079,1412,2178,3438,5182,7137,7978,9342,9998,11204,11620,11313,10029,9080,9547,9175,7828,7747,5934
downtown,Parklot,12,3,6,15,30,28,67,160,342,576,309,45,18,14,3,1,3,3,0
downtown,Rideshare,0,0,0,0,1,1,1,9,17,38,10,2,3,10,5,2,0,0,0
downtown,around_NRG,732,241,213,318,487,622,822,1192,1635,2386,1636,852,778,939,871,635,549,489,399
