Origin,Destination,00:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00, 21:00 - 22:00,22:00 - 23:00, 23:00 - 00:00
Other,Parklot,169,62,98,172,228,241,483,622,742,911,1185,1182,934,419,162,110,153,342,145
Other,Rideshare,52,0,0,0,2,0,6,30,52,82,99,175,243,78,26,176,500,609,102
Other,around_NRG,2899,4173,5228,4541,3324,2679,2485,2967,3134,3102,3188,3444,2651,2103,1204,936,737,1527,1447
Other,downtown,5860,6549,11635,11195,6897,5801,6071,6684,6447,6450,7555,8371,6594,4507,3285,2654,2050,2768,3260
Other,galleria,3293,3002,6098,7189,5368,4460,4908,5241,5208,5067,5552,6212,4744,3482,2434,1828,1388,2001,2319
Other,hou_airport,3206,2555,3652,2691,2204,2167,2308,2503,2502,2628,3233,3463,2784,1976,1544,1188,953,975,912
Other,iah_airport,5233,2650,3501,2957,2378,2724,2221,2702,2575,2592,2513,2599,2348,2111,1525,1445,1298,1154,1134
Parklot,Other,91,24,22,55,93,119,179,208,232,402,507,542,483,277,147,162,221,1389,1071
Parklot,Parklot,18,9,7,24,56,73,91,96,116,182,241,222,188,123,57,53,88,270,76
Parklot,Rideshare,1,0,0,0,0,0,0,0,0,1,2,3,1,0,1,1,8,8,0
Parklot,around_NRG,3,5,5,8,10,15,17,14,37,81,119,112,79,22,6,14,13,132,113
Parklot,downtown,9,1,0,4,10,5,13,15,16,28,32,31,64,22,10,10,27,191,342
Parklot,galleria,9,1,0,4,7,2,6,12,13,14,26,19,37,20,5,9,3,158,195
Parklot,hou_airport,4,0,0,0,0,4,1,5,2,5,5,3,14,5,1,1,3,22,61
Parklot,iah_airport,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,9,10
Rideshare,Other,25,0,0,0,1,0,5,16,44,103,127,158,176,61,20,45,318,718,178
