Origin,Destination,00:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00, 21:00 - 22:00,22:00 - 23:00, 23:00 - 00:00
Other,Parklot,99,32,33,84,108,160,178,223,331,356,424,787,1485,1936,1201,276,104,422,213
Other,Rideshare,80,0,0,0,0,0,0,1,1,2,6,17,99,162,125,52,115,297,239
Other,around_NRG,3175,2285,1465,1852,2043,2336,2580,2845,2853,2823,2843,2933,3433,3860,2514,1812,1628,1819,2502
Other,downtown,12680,2621,3685,6035,8291,10357,11496,12665,13514,13137,14321,15261,16860,14874,12414,10663,10295,10074,10131
Other,galleria,5777,1294,2205,3754,5647,6822,7530,8637,8594,8427,8385,7680,7386,6826,5817,5275,4299,3844,4083
Other,hou_airport,4297,1561,1791,2533,3054,3571,4049,3918,4103,4313,4315,4258,4217,3798,3183,2959,2673,2187,1858
Other,iah_airport,5655,2126,3005,2793,2789,3193,3139,3255,3529,3437,3258,3417,3267,2855,2424,2226,1824,1475,1087
Parklot,Other,105,12,13,27,47,91,100,147,176,189,230,330,513,678,533,141,109,841,1685
Parklot,Parklot,15,2,4,8,14,26,33,38,53,60,76,125,239,290,190,55,41,283,135
Parklot,Rideshare,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,3,0
Parklot,around_NRG,6,2,0,0,2,12,18,13,33,19,39,51,103,91,97,19,12,77,230
Parklot,downtown,23,0,1,0,4,5,14,8,21,18,23,34,42,48,95,13,3,70,352
Parklot,galleria,7,0,1,0,1,5,14,11,14,10,17,26,29,34,55,13,4,61,229
Parklot,hou_airport,2,0,0,1,0,2,0,3,0,2,2,6,6,9,11,1,0,8,26
Parklot,iah_airport,2,0,0,0,1,0,0,1,0,1,0,0,1,3,14,1,0,0,8
Rideshare,Other,52,0,0,0,0,0,0,0,0,1,4,5,21,70,75,20,42,270,284
Rideshare,Parklot,2,0,0,0,0,0,0,0,0,0,2,0,1,3,3,0,2,26,4
Rideshare,Rideshare,17,0,0,0,0,0,0,0,0,1,0,0,0,14,5,4,18,128,117
Rideshare,around_NRG,3,0,0,0,0,0,0,0,0,0,0,3,14,22,35,7,2,20,53
Rideshare,downtown,12,0,0,0,0,0,0,0,0,0,1,2,3,9,39,3,5,21,33
Rideshare,galleria,11,0,0,0,0,0,0,0,0,0,0,1,3,8,6,0,0,19,31
Rideshare,hou_airport,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0
Rideshare,iah_airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
