Origin,Destination,00:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00, 21:00 - 22:00,22:00 - 23:00, 23:00 - 00:00
Other,Parklot,396,531,662,600,752,1071,1484,1582,1760,1598,1541,891,784,479,383,373,358,258,146
Other,Rideshare,247,1,5,1,22,70,123,76,84,73,85,126,121,104,199,229,250,245,127
Other,around_NRG,3375,2069,1391,1626,2004,2292,3021,3356,3431,3513,3061,2873,2706,3371,3020,2284,2059,1510,1090
Other,downtown,12668,4212,4102,5677,7830,9249,11059,12697,14225,11966,11842,11667,12730,12253,12276,9671,8711,8426,6674
Other,galleria,6953,1230,2046,3476,4975,6317,7584,8298,8343,8812,8291,7894,7198,7451,6687,5276,4541,3832,2992
Other,hou_airport,4019,1610,1923,2433,2905,3446,4080,4284,4211,4493,4493,3759,3781,3622,3478,2963,2546,2003,1243
Other,iah_airport,5209,2135,3041,2555,3008,3405,3225,3515,3646,3853,3499,3672,3193,2802,2566,2066,1696,1197,796
Parklot,Other,1645,65,136,207,209,292,349,515,646,638,639,511,535,1141,959,693,795,623,390
Parklot,Parklot,113,43,111,129,117,180,213,258,314,296,293,227,236,252,180,154,161,120,74
Parklot,Rideshare,6,0,1,0,1,7,5,6,2,1,1,1,2,1,2,4,11,4,11
Parklot,around_NRG,79,5,5,3,10,14,23,25,31,43,38,28,25,86,74,45,49,39,15
Parklot,downtown,175,3,1,1,5,3,9,11,16,23,13,13,38,86,102,49,63,48,29
Parklot,galleria,83,0,1,3,2,2,8,32,19,32,20,12,35,91,86,41,59,31,23
Parklot,hou_airport,22,0,1,0,2,1,3,5,9,6,7,3,5,19,16,17,9,15,2
Parklot,iah_airport,5,0,0,0,1,0,0,0,0,0,0,3,3,1,1,1,3,2,0
Rideshare,Other,341,0,0,1,1,7,22,44,59,39,39,52,63,81,151,205,261,218,166
Rideshare,Parklot,4,0,0,0,0,0,1,2,1,0,0,1,1,0,1,4,11,5,6
Rideshare,Rideshare,63,0,0,1,1,2,2,4,4,0,0,4,3,9,23,53,68,94,53
Rideshare,around_NRG,23,1,0,0,0,1,14,13,18,15,21,23,29,24,37,20,18,24,11
Rideshare,downtown,65,0,0,0,0,0,3,2,5,9,6,14,11,19,22,27,43,26,20
Rideshare,galleria,50,0,0,0,0,0,2,2,3,2,5,7,2,7,23,15,20,20,18
Rideshare,hou_airport,6,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,2,2
Rideshare,iah_airport,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
around_NRG,Other,4493,613,1548,1350,1688,2067,2332,2920,3079,3333,3332,3021,2808,2893,3896,2958,2309,1886,1427
around_NRG,Parklot,16,38,33,27,52,50,72,117,136,139,146,88,65,38,33,18,16,11,6
around_NRG,Rideshare,18,0,0,0,3,8,9,11,21,11,6,13,20,15,19,14,22,9,4
around_NRG,around_NRG,1206,526,729,876,1168,1473,1837,2167,2176,2198,2171,1797,1711,2077,2113,1585,1192,1052,659
around_NRG,downtown,1294,233,366,324,479,564,701,912,989,828,871,842,813,943,1198,816,737,553,538
around_NRG,galleria,398,54,123,131,258,327,456,495,536,534,506,489,395,470,515,321,231,186,159
around_NRG,hou_airport,128,56,48,51,52,45,41,57,61,66,62,62,68,73,88,60,42,26,19
around_NRG,iah_airport,133,32,68,24,45,51,21,21,39,33,29,37,35,14,15,16,11,14,11
downtown,Other,19615,1727,2596,3704,5383,7319,8161,9885,10701,11824,11117,11216,10559,9912,9954,12065,10394,8927,7881
downtown,Parklot,16,24,9,29,42,66,101,111,126,146,129,71,29,38,23,26,23,8,5
downtown,Rideshare,19,0,0,0,2,7,18,13,6,10,15,9,19,5,9,16,13,13,4
downtown,around_NRG,960,284,215,303,406,573,737,894,970,1115,920,895,754,845,741,682,700,625,464
downtown,downtown,12825,1376,2097,3072,4749,6343,8051,9526,10947,10843,9972,9967,10142,9829,10371,10900,9142,8484,7756
downtown,galleria,1962,66,169,276,472,712,939,1136,1098,1406,1327,1174,1018,905,899,964,1099,839,788
downtown,hou_airport,494,105,139,171,220,275,329,333,410,418,409,423,320,322,279,366,336,273,224
downtown,iah_airport,338,94,156,121,113,139,130,175,198,189,164,187,151,135,88,118,86,54,45
galleria,Other,8493,988,1655,2481,3721,5023,6071,7013,7660,8270,8131,7847,7161,6867,6739,6266,5196,4039,3072
galleria,Parklot,16,21,9,32,59,93,90,104,108,155,105,54,28,11,4,5,12,5,5
galleria,Rideshare,17,0,0,0,1,4,21,22,14,17,15,16,4,9,11,10,11,2,6
galleria,around_NRG,307,102,133,180,281,361,460,530,480,554,492,422,416,451,327,323,265,216,150
galleria,downtown,1336,430,270,292,454,632,852,1151,1296,1130,1164,1110,1156,1092,1100,964,903,794,838
galleria,galleria,4122,532,956,1661,2683,3926,5031,5979,6364,6435,6669,6182,5260,5017,5122,4202,3311,2735,2199
galleria,hou_airport,109,55,44,68,54,71,64,72,75,89,85,85,61,59,72,74,39,45,30
galleria,iah_airport,161,47,122,52,88,72,42,63,44,56,39,52,44,37,26,20,20,7,8
hou_airport,Other,3735,1208,1571,2134,2603,3279,3838,3993,4069,4120,4315,4321,3561,3500,3333,2984,2794,2199,1663
hou_airport,Parklot,2,13,7,8,10,17,30,30,39,45,25,13,10,5,7,3,5,2,0
hou_airport,Rideshare,1,0,0,0,0,2,0,2,1,0,0,2,3,1,1,3,1,2,1
hou_airport,around_NRG,56,55,32,49,48,53,60,80,55,76,85,66,38,53,50,45,22,35,17
hou_airport,downtown,335,120,154,205,221,341,360,393,417,370,395,382,395,321,316,322,265,278,205
hou_airport,galleria,74,21,23,40,66,83,76,103,92,77,110,93,78,67,65,49,56,51,32
hou_airport,hou_airport,1603,536,986,1274,1829,2032,2375,2551,2589,2759,2734,2457,2158,2012,2113,1917,1643,1179,828
hou_airport,iah_airport,20,13,12,11,20,12,28,25,23,15,24,17,11,12,8,12,7,7,4
