Origin,Destination,00:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00, 21:00 - 22:00,22:00 - 23:00, 23:00 - 00:00
Other,Parklot,69,7,16,26,30,46,86,185,282,865,1490,2088,2521,2629,881,179,149,324,286
Other,Rideshare,28,0,0,0,0,0,0,0,2,20,91,121,218,301,140,37,56,172,155
Other,around_NRG,2284,1522,708,996,1279,1766,1981,2293,2189,2176,2185,2539,3162,3096,1677,1265,1074,1135,1580
Other,downtown,10935,1414,2033,3377,4876,6728,7832,9233,9793,9229,8448,8103,8629,7603,5929,5086,4032,3326,3251
Other,galleria,5517,794,1261,2251,2989,4513,5559,6564,6680,6351,6011,6186,5537,4408,3469,2906,2248,2020,2091
Other,hou_airport,4099,813,971,1485,2131,2440,2844,3048,3170,3295,3178,3474,3264,2710,2339,2162,1628,1153,1003
Other,iah_airport,4071,1211,1980,2045,2161,3025,2543,3320,3264,3419,3480,3387,2850,2662,2127,1906,1409,1013,704
Parklot,Other,159,0,1,9,21,19,18,51,86,155,220,380,519,580,396,204,504,1925,3144
Parklot,Parklot,12,0,0,3,10,5,6,20,46,100,154,264,333,367,203,67,78,282,231
Parklot,Rideshare,0,0,0,0,0,0,0,0,0,1,0,2,7,4,9,2,9,7,7
Parklot,around_NRG,3,3,1,2,2,4,2,1,3,4,12,19,35,41,24,19,35,120,299
Parklot,downtown,7,0,0,2,0,0,0,4,1,1,2,6,17,16,22,21,24,112,251
Parklot,galleria,8,0,0,0,2,3,3,1,1,1,4,9,7,20,15,7,32,122,217
Parklot,hou_airport,2,0,0,1,0,0,0,0,1,2,3,2,7,6,4,0,10,36,61
Parklot,iah_airport,11,0,0,0,0,0,0,0,0,0,0,0,1,5,5,3,1,7,18
Rideshare,Other,34,0,0,0,0,0,0,0,0,4,21,76,127,192,103,42,69,190,243
Rideshare,Parklot,0,0,0,0,0,0,0,0,0,1,3,2,9,4,3,0,4,0,3
Rideshare,Rideshare,8,0,0,0,0,0,0,0,0,1,3,12,10,32,6,5,11,22,38
Rideshare,around_NRG,2,0,0,0,0,0,0,0,0,3,2,19,58,56,37,3,7,42,41
Rideshare,downtown,3,0,0,0,0,0,0,0,0,0,1,6,6,23,20,6,13,29,45
Rideshare,galleria,1,0,0,0,0,0,0,0,0,0,1,0,7,6,13,4,5,36,26
Rideshare,hou_airport,0,0,0,0,0,0,0,0,0,0,0,2,1,5,3,0,2,5,1
Rideshare,iah_airport,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,2
around_NRG,Other,2462,347,1057,879,1108,1447,1768,2142,2168,2111,2286,2390,2869,2851,2472,1416,1147,1074,1718
around_NRG,Parklot,5,0,0,2,6,2,4,10,21,48,112,143,279,358,85,15,5,10,5
around_NRG,Rideshare,1,0,0,0,0,0,0,0,0,2,7,23,63,71,22,1,6,25,16
around_NRG,around_NRG,948,350,453,606,818,1167,1637,1799,1614,1643,1585,1527,1710,1813,1335,1058,688,620,587
around_NRG,downtown,803,94,179,253,356,481,549,619,634,593,625,565,602,631,572,431,314,246,455
around_NRG,galleria,254,26,97,84,158,238,397,455,412,379,400,323,352,241,278,165,100,72,122
around_NRG,hou_airport,61,21,21,24,34,52,39,47,42,42,45,43,39,46,44,21,25,22,46
around_NRG,iah_airport,44,32,28,28,25,38,19,31,24,23,28,30,26,27,23,18,18,10,8
downtown,Other,20943,1044,1497,2445,3527,5075,6659,7570,7991,8543,8738,8777,8674,7598,6261,5383,4683,4134,3368
downtown,Parklot,7,0,2,0,2,2,15,10,19,61,148,171,293,305,84,18,7,3,7
downtown,Rideshare,0,0,0,0,0,0,0,0,1,1,12,21,84,58,32,3,4,3,5
downtown,around_NRG,901,207,149,214,310,465,567,725,607,694,634,739,862,899,559,439,348,288,281
downtown,downtown,12573,671,1105,2009,3211,4624,5895,6929,7541,7669,7541,7327,6945,6407,5783,5239,4174,3495,2658
downtown,galleria,1941,60,111,173,258,474,692,846,919,897,837,800,736,521,493,437,389,383,317
downtown,hou_airport,514,56,112,109,144,172,216,234,250,288,267,260,291,269,202,215,170,130,96
downtown,iah_airport,298,90,112,122,111,156,147,192,162,217,227,249,158,123,134,130,85,65,31
galleria,Other,7403,617,936,1693,2419,3761,4308,5295,5759,5841,5983,6339,6410,5602,4294,3173,2446,1920,1791
galleria,Parklot,2,2,0,10,1,21,17,14,13,41,114,137,239,185,29,15,9,4,0
galleria,Rideshare,2,0,0,0,0,0,0,0,0,0,6,18,27,34,23,5,1,3,3
galleria,around_NRG,290,88,54,119,179,308,333,327,402,414,436,401,411,414,257,151,136,100,116
galleria,downtown,1244,93,103,206,340,452,581,667,793,815,783,795,833,729,669,438,349,270,237
galleria,galleria,3354,346,613,1152,1775,2719,3669,4387,4894,4849,4786,4978,4524,3534,2863,2288,1690,1291,992
galleria,hou_airport,108,29,27,36,51,48,44,54,55,58,61,47,68,59,49,30,30,18,19
galleria,iah_airport,120,35,60,64,40,75,45,62,40,53,33,47,53,38,44,41,18,20,9
hou_airport,Other,3920,653,756,1216,1693,2460,2747,3033,3305,3350,3211,3340,3303,2881,2532,2176,1959,1586,1200
hou_airport,Parklot,0,1,1,0,2,1,0,1,8,20,44,54,68,37,3,2,1,0,1
hou_airport,Rideshare,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,0,0,1,0
hou_airport,around_NRG,40,32,18,27,24,43,44,66,58,47,53,58,78,67,29,42,33,26,24
hou_airport,downtown,296,53,86,138,165,284,265,367,383,379,288,297,311,306,234,205,228,190,132
hou_airport,galleria,48,10,16,40,32,64,59,75,104,92,60,81,75,79,34,54,52,41,29
hou_airport,hou_airport,1642,414,560,755,1222,1518,1699,2005,2001,2075,2003,2024,2042,1773,1682,1604,1276,899,557
hou_airport,iah_airport,26,14,21,26,8,20,18,10,14,25,22,24,12,19,13,12,10,11,4
iah_airport,Other,3004,842,934,1489,1941,2229,2825,2837,3448,3216,3184,3299,3137,2745,3088,2898,2515,1878,1362
