Time Range,Arrival Profile Auto,Departure Profile Auto,Arrival Profile Rideshare,Departure Profile Rideshare
00:00 - 06:00,560,2122,365,548
06:00 - 07:00,673,116,1,1
07:00 - 08:00,836,255,5,0
08:00 - 09:00,827,343,2,2
09:00 - 10:00,1032,346,29,2
10:00 - 11:00,1480,492,94,10
11:00 - 12:00,1999,605,173,44
12:00 - 13:00,2206,846,128,66
13:00 - 14:00,2486,1035,130,90
14:00 - 15:00,2381,1038,111,65
15:00 - 16:00,2240,1010,121,71
16:00 - 17:00,1346,797,170,101
17:00 - 18:00,1152,877,170,110
18:00 - 19:00,823,1676,143,141
19:00 - 20:00,630,1418,262,256
20:00 - 21:00,580,1000,325,321
 21:00 - 22:00,578,1139,367,411
22:00 - 23:00,404,878,366,384
 23:00 - 00:00,236,533,195,270
