Time Range,Arrival Profile Auto,Departure Profile Auto,Arrival Profile Rideshare,Departure Profile Rideshare
00:00 - 06:00,304,119,0,0
06:00 - 07:00,307,61,2,0
07:00 - 08:00,744,172,7,2
08:00 - 09:00,1220,283,40,9
09:00 - 10:00,2094,373,177,54
10:00 - 11:00,4225,732,378,157
11:00 - 12:00,4835,1101,437,248
12:00 - 13:00,1179,646,112,66
13:00 - 14:00,226,238,28,16
14:00 - 15:00,279,759,45,44
15:00 - 16:00,2167,5165,274,431
16:00 - 17:00,346,3049,142,257
17:00 - 18:00,113,461,23,40
18:00 - 19:00,64,103,0,1
19:00 - 20:00,32,40,0,0
20:00 - 21:00,25,27,0,0
 21:00 - 22:00,18,23,0,0
22:00 - 23:00,7,14,0,0
 23:00 - 00:00,6,10,0,0
