Time Range,Arrival Profile,Departure Profile
00:00 - 06:00,8352,12160
06:00 - 07:00,924,852
07:00 - 08:00,1094,1146
08:00 - 09:00,1792,1577
09:00 - 10:00,2641,2443
10:00 - 11:00,3804,3695
11:00 - 12:00,4589,4394
12:00 - 13:00,5229,5296
13:00 - 14:00,5737,5235
14:00 - 15:00,5062,5183
15:00 - 16:00,5108,4933
16:00 - 17:00,5258,4763
17:00 - 18:00,5623,5109
18:00 - 19:00,6925,4853
19:00 - 20:00,6104,4851
20:00 - 21:00,4065,3973
21:00 - 22:00,3214,3287
22:00 - 23:00,3324,4108
23:00 - 00:00,2149,4359
